,Crop,N,P,K,pH
351,pomegranate,20,10,40,5.56
352,banana,100,75,50,6.56
353,mango,20,20,30,5.06
354,grapes,20,125,200,4.06
357,watermelon,100,10,50,5.56
358,muskmelon,100,10,50,5.56
360,apple,20,125,200,6.56
365,orange,20,10,10,4.06
366,papaya,50,50,50,6.06
379,coconut,20,10,30,5.06
384,cotton,120,40,20,5.56
385,jute,80,40,40,5.56
386,coffee,100,20,30,5.56
388,rice,80,40,40,5.58
391,maize,80,40,20,5.58
393,chickpea,40,60,80,5.58
400,kidneybeans,20,60,20,5.58
401,pigeonpeas,20,60,20,5.58
402,mothbeans,20,40,20,5.58
403,mungbean,20,40,20,5.58
406,blackgram,40,60,20,5.08
412,lentil,20,60,20,5.58
448,pomegranate,20,10,40,5.58
449,banana,100,75,50,6.58
450,mango,20,20,30,5.08
451,grapes,20,125,200,4.08
454,watermelon,100,10,50,5.58
455,muskmelon,100,10,50,5.58
457,apple,20,125,200,6.58
462,orange,20,10,10,4.08
463,papaya,50,50,50,6.08
476,coconut,20,10,30,5.08
481,cotton,120,40,20,5.58
482,jute,80,40,40,5.58
483,coffee,100,20,30,5.58
485,rice,80,40,40,5.6
488,maize,80,40,20,5.6
490,chickpea,40,60,80,5.6
497,kidneybeans,20,60,20,5.6
498,pigeonpeas,20,60,20,5.6
499,mothbeans,20,40,20,5.6
500,mungbean,20,40,20,5.6
503,blackgram,40,60,20,5.1
509,lentil,20,60,20,5.6
545,pomegranate,20,10,40,5.6
546,banana,100,75,50,6.6
547,mango,20,20,30,5.1
548,grapes,20,125,200,4.1
551,watermelon,100,10,50,5.6
552,muskmelon,100,10,50,5.6
554,apple,20,125,200,6.6
559,orange,20,10,10,4.1
560,papaya,50,50,50,6.1
573,coconut,20,10,30,5.1
578,cotton,120,40,20,5.6
579,jute,80,40,40,5.6
580,coffee,100,20,30,5.6
582,rice,80,40,40,5.62
585,maize,80,40,20,5.62
587,chickpea,40,60,80,5.62
594,kidneybeans,20,60,20,5.62
595,pigeonpeas,20,60,20,5.62
596,mothbeans,20,40,20,5.62
597,mungbean,20,40,20,5.62
600,blackgram,40,60,20,5.12
606,lentil,20,60,20,5.62
642,pomegranate,20,10,40,5.62
643,banana,100,75,50,6.62
644,mango,20,20,30,5.12
645,grapes,20,125,200,4.12
648,watermelon,100,10,50,5.62
649,muskmelon,100,10,50,5.62
651,apple,20,125,200,6.62
656,orange,20,10,10,4.12
657,papaya,50,50,50,6.12
670,coconut,20,10,30,5.12
675,cotton,120,40,20,5.62
676,jute,80,40,40,5.62
677,coffee,100,20,30,5.62
679,rice,80,40,40,5.64
682,maize,80,40,20,5.64
684,chickpea,40,60,80,5.64
691,kidneybeans,20,60,20,5.64
692,pigeonpeas,20,60,20,5.64
693,mothbeans,20,40,20,5.64
694,mungbean,20,40,20,5.64
697,blackgram,40,60,20,5.14
703,lentil,20,60,20,5.64
739,pomegranate,20,10,40,5.64
740,banana,100,75,50,6.64
741,mango,20,20,30,5.14
742,grapes,20,125,200,4.14
745,watermelon,100,10,50,5.64
746,muskmelon,100,10,50,5.64
748,apple,20,125,200,6.64
753,orange,20,10,10,4.14
754,papaya,50,50,50,6.14
767,coconut,20,10,30,5.14
772,cotton,120,40,20,5.64
773,jute,80,40,40,5.64
774,coffee,100,20,30,5.64
776,rice,80,40,40,5.66
779,maize,80,40,20,5.66
781,chickpea,40,60,80,5.66
788,kidneybeans,20,60,20,5.66
789,pigeonpeas,20,60,20,5.66
790,mothbeans,20,40,20,5.66
791,mungbean,20,40,20,5.66
794,blackgram,40,60,20,5.16
800,lentil,20,60,20,5.66
836,pomegranate,20,10,40,5.66
837,banana,100,75,50,6.66
838,mango,20,20,30,5.16
839,grapes,20,125,200,4.16
842,watermelon,100,10,50,5.66
843,muskmelon,100,10,50,5.66
845,apple,20,125,200,6.66
850,orange,20,10,10,4.16
851,papaya,50,50,50,6.16
864,coconut,20,10,30,5.16
869,cotton,120,40,20,5.66
870,jute,80,40,40,5.66
871,coffee,100,20,30,5.66
873,rice,80,40,40,5.68
876,maize,80,40,20,5.68
878,chickpea,40,60,80,5.68
885,kidneybeans,20,60,20,5.68
886,pigeonpeas,20,60,20,5.68
887,mothbeans,20,40,20,5.68
888,mungbean,20,40,20,5.68
891,blackgram,40,60,20,5.18
897,lentil,20,60,20,5.68
933,pomegranate,20,10,40,5.68
934,banana,100,75,50,6.68
935,mango,20,20,30,5.18
936,grapes,20,125,200,4.18
939,watermelon,100,10,50,5.68
940,muskmelon,100,10,50,5.68
942,apple,20,125,200,6.68
947,orange,20,10,10,4.18
948,papaya,50,50,50,6.18
961,coconut,20,10,30,5.18
966,cotton,120,40,20,5.68
967,jute,80,40,40,5.68
968,coffee,100,20,30,5.68
970,rice,80,40,40,5.48
973,maize,80,40,20,5.48
975,chickpea,40,60,80,5.48
982,kidneybeans,20,60,20,5.48
983,pigeonpeas,20,60,20,5.48
984,mothbeans,20,40,20,5.48
985,mungbean,20,40,20,5.48
988,blackgram,40,60,20,4.98
994,lentil,20,60,20,5.48
1030,pomegranate,20,10,40,5.48
1031,banana,100,75,50,6.48
1032,mango,20,20,30,4.98
1033,grapes,20,125,200,3.98
1036,watermelon,100,10,50,5.48
1037,muskmelon,100,10,50,5.48
1039,apple,20,125,200,6.48
1044,orange,20,10,10,3.98
1045,papaya,50,50,50,5.98
1058,coconut,20,10,30,4.98
1063,cotton,120,40,20,5.48
1064,jute,80,40,40,5.48
1065,coffee,100,20,30,5.48
1067,rice,80,40,40,5.46
1070,maize,80,40,20,5.46
1072,chickpea,40,60,80,5.46
1079,kidneybeans,20,60,20,5.46
1080,pigeonpeas,20,60,20,5.46
1081,mothbeans,20,40,20,5.46
1082,mungbean,20,40,20,5.46
1085,blackgram,40,60,20,4.96
1091,lentil,20,60,20,5.46
1127,pomegranate,20,10,40,5.46
1128,banana,100,75,50,6.46
1129,mango,20,20,30,4.96
1130,grapes,20,125,200,3.96
1133,watermelon,100,10,50,5.46
1134,muskmelon,100,10,50,5.46
1136,apple,20,125,200,6.46
1141,orange,20,10,10,3.96
1142,papaya,50,50,50,5.96
1155,coconut,20,10,30,4.96
1160,cotton,120,40,20,5.46
1161,jute,80,40,40,5.46
1162,coffee,100,20,30,5.46
1164,rice,80,40,40,5.44
1167,maize,80,40,20,5.44
1169,chickpea,40,60,80,5.44
1176,kidneybeans,20,60,20,5.44
1177,pigeonpeas,20,60,20,5.44
1178,mothbeans,20,40,20,5.44
1179,mungbean,20,40,20,5.44
1182,blackgram,40,60,20,4.94
1188,lentil,20,60,20,5.44
1224,pomegranate,20,10,40,5.44
1225,banana,100,75,50,6.44
1226,mango,20,20,30,4.94
1227,grapes,20,125,200,3.94
1230,watermelon,100,10,50,5.44
1231,muskmelon,100,10,50,5.44
1233,apple,20,125,200,6.44
1238,orange,20,10,10,3.94
1239,papaya,50,50,50,5.94
1252,coconut,20,10,30,4.94
1257,cotton,120,40,20,5.44
1258,jute,80,40,40,5.44
1259,coffee,100,20,30,5.44
1261,rice,80,40,40,5.42
1264,maize,80,40,20,5.42
1266,chickpea,40,60,80,5.42
1273,kidneybeans,20,60,20,5.42
1274,pigeonpeas,20,60,20,5.42
1275,mothbeans,20,40,20,5.42
1276,mungbean,20,40,20,5.42
1279,blackgram,40,60,20,4.92
1285,lentil,20,60,20,5.42
1321,pomegranate,20,10,40,5.42
1322,banana,100,75,50,6.42
1323,mango,20,20,30,4.92
1324,grapes,20,125,200,3.92
1327,watermelon,100,10,50,5.42
1328,muskmelon,100,10,50,5.42
1330,apple,20,125,200,6.42
1335,orange,20,10,10,3.92
1336,papaya,50,50,50,5.92
1349,coconut,20,10,30,4.92
1354,cotton,120,40,20,5.42
1355,jute,80,40,40,5.42
1356,coffee,100,20,30,5.42
1358,rice,80,40,40,5.4
1361,maize,80,40,20,5.4
1363,chickpea,40,60,80,5.4
1370,kidneybeans,20,60,20,5.4
1371,pigeonpeas,20,60,20,5.4
1372,mothbeans,20,40,20,5.4
1373,mungbean,20,40,20,5.4
1376,blackgram,40,60,20,4.9
1382,lentil,20,60,20,5.4
1418,pomegranate,20,10,40,5.4
1419,banana,100,75,50,6.4
1420,mango,20,20,30,4.9
1421,grapes,20,125,200,3.9
1424,watermelon,100,10,50,5.4
1425,muskmelon,100,10,50,5.4
1427,apple,20,125,200,6.4
1432,orange,20,10,10,3.9
1433,papaya,50,50,50,5.9
1446,coconut,20,10,30,4.9
1451,cotton,120,40,20,5.4
1452,jute,80,40,40,5.4
1453,coffee,100,20,30,5.4
1455,rice,80,40,40,5.38
1458,maize,80,40,20,5.38
1460,chickpea,40,60,80,5.38
1467,kidneybeans,20,60,20,5.38
1468,pigeonpeas,20,60,20,5.38
1469,mothbeans,20,40,20,5.38
1470,mungbean,20,40,20,5.38
1473,blackgram,40,60,20,4.88
1479,lentil,20,60,20,5.38
1515,pomegranate,20,10,40,5.38
1516,banana,100,75,50,6.38
1517,mango,20,20,30,4.88
1518,grapes,20,125,200,3.88
1521,watermelon,100,10,50,5.38
1522,muskmelon,100,10,50,5.38
1524,apple,20,125,200,6.38
1529,orange,20,10,10,3.88
1530,papaya,50,50,50,5.88
1543,coconut,20,10,30,4.88
1548,cotton,120,40,20,5.38
1549,jute,80,40,40,5.38
1550,coffee,100,20,30,5.38
1552,rice,80,40,40,5.36
1555,maize,80,40,20,5.36
1557,chickpea,40,60,80,5.36
1564,kidneybeans,20,60,20,5.36
1565,pigeonpeas,20,60,20,5.36
1566,mothbeans,20,40,20,5.36
1567,mungbean,20,40,20,5.36
1570,blackgram,40,60,20,4.86
1576,lentil,20,60,20,5.36
1612,pomegranate,20,10,40,5.36
1613,banana,100,75,50,6.36
1614,mango,20,20,30,4.86
1615,grapes,20,125,200,3.86
1618,watermelon,100,10,50,5.36
1619,muskmelon,100,10,50,5.36
1621,apple,20,125,200,6.36
1626,orange,20,10,10,3.86
1627,papaya,50,50,50,5.86
1640,coconut,20,10,30,4.86
1645,cotton,120,40,20,5.36
1646,jute,80,40,40,5.36
1647,coffee,100,20,30,5.36
1649,rice,80,40,40,5.34
1652,maize,80,40,20,5.34
1654,chickpea,40,60,80,5.34
1661,kidneybeans,20,60,20,5.34
1662,pigeonpeas,20,60,20,5.34
1663,mothbeans,20,40,20,5.34
1664,mungbean,20,40,20,5.34
1667,blackgram,40,60,20,4.84
1673,lentil,20,60,20,5.34
1709,pomegranate,20,10,40,5.34
1710,banana,100,75,50,6.34
1711,mango,20,20,30,4.84
1712,grapes,20,125,200,3.84
1715,watermelon,100,10,50,5.34
1716,muskmelon,100,10,50,5.34
1718,apple,20,125,200,6.34
1723,orange,20,10,10,3.84
1724,papaya,50,50,50,5.84
1737,coconut,20,10,30,4.84
1742,cotton,120,40,20,5.34
1743,jute,80,40,40,5.34
1744,coffee,100,20,30,5.34
1746,rice,80,40,40,5.32
1749,maize,80,40,20,5.32
1751,chickpea,40,60,80,5.32
1758,kidneybeans,20,60,20,5.32
1759,pigeonpeas,20,60,20,5.32
1760,mothbeans,20,40,20,5.32
1761,mungbean,20,40,20,5.32
1764,blackgram,40,60,20,4.82
1770,lentil,20,60,20,5.32
1806,pomegranate,20,10,40,5.32
1807,banana,100,75,50,6.32
1808,mango,20,20,30,4.82
1809,grapes,20,125,200,3.82
1812,watermelon,100,10,50,5.32
1813,muskmelon,100,10,50,5.32
1815,apple,20,125,200,6.32
1820,orange,20,10,10,3.82
1821,papaya,50,50,50,5.82
1834,coconut,20,10,30,4.82
1839,cotton,120,40,20,5.32
1840,jute,80,40,40,5.32
1841,coffee,100,20,30,5.32
